"","Road","Number_of_Fees(sheet/day)","Total_Parking_Hours(hours/day)","Number_of_Parking_Space","Hours_per_sheet","Time_Start","Time_End","Interval","Space_efficiency"
"682","通河西街1段",49.8285385500575,37.5189873417722,142.003452243959,0.752961825362001,"09:00","17:00",8,"3.3%"
"683","通河西街2段",94.7367816091954,75.2413793103448,372.520689655172,0.794215066548574,"09:00","17:00",8,"2.5%"
"684","通河西街一段堤外平面停車場",22.5879396984925,13.9212730318258,39.8040201005025,0.616314423433445,"09:00","17:00",8,"4.4%"
"685","通化街",21.3839357429719,48.8104417670683,13.0377510040161,2.2825752169177,"07:00","20:00",13,"28.8%"
"686","同德路",44.6312056737589,59.8723404255319,40.7801418439716,1.34149054505006,"09:00","17:00",8,"18.4%"
"687","銅山街",4.82352941176471,13.9411764705882,2.94117647058824,2.89024390243902,"07:00","20:00",13,"36.5%"
"688","萬大路",145.297701149425,213.103448275862,179.27816091954,1.46666772144388,"09:00","17:00",8,"14.9%"
"689","萬大路277巷33弄",8.56,16.62,20.52,1.94158878504673,"09:00","17:00",8,"10.1%"
"690","萬大路344巷",39.3103448275862,95.6114942528736,60.4873563218391,2.43222222222222,"09:00","17:00",8,"19.8%"
"691","萬大路423巷",13.4199395770393,18.7114803625378,11.7129909365559,1.39430436740207,"07:00","20:00",13,"12.3%"
"692","萬大平面廣場",86.1977011494253,208.926436781609,162.032183908046,2.42380520588863,"09:00","17:00",8,"16.1%"
"693","萬芳八號公園",24.68,24.68,120.22,1,"00:00","09:00",9,"2.3%"
"694","萬華火車站前廣場",46.225955967555,82.6929316338355,47.0706836616454,1.78888526809215,"09:00","17:00",8,"22.0%"
"695","萬華火車站週邊",49.3057471264368,84.3724137931034,56.5850574712644,1.71120850428944,"09:00","17:00",8,"18.6%"
"696","萬美街1段",27.2748091603053,51.2519083969466,84.5954198473282,1.87909319899244,"09:00","17:00",8,"7.6%"
"697","萬青街",1.92892156862745,3.57598039215686,1.20098039215686,1.85387547649301,"00:00","09:00",9,"33.1%"
"698","萬慶平面廣場",16.8569682151589,35.0342298288509,27.0929095354523,2.0783233011821,"09:00","17:00",8,"16.2%"
"699","萬全街",6.66666666666667,8.66666666666667,10,1.3,"09:00","17:00",8,"10.8%"
"700","渭水路",22.7804597701149,39.8149425287356,13.3252873563218,1.7477672940108,"07:00","20:00",13,"23.0%"
"701","渭水路3巷",43.4459770114943,99.1632183908046,33.7402298850575,2.28244880681518,"07:00","20:00",13,"22.6%"
"702","文昌街",8.7720207253886,8.7720207253886,8.83419689119171,1,"07:00","20:00",13,"7.6%"
"703","文昌路",37.3423645320197,58.4663382594417,27.3743842364532,1.56568388188994,"09:00","17:00",8,"26.7%"
"704","文德路",9.66666666666667,15.4375,7.96875,1.59698275862069,"09:00","17:00",8,"24.2%"
"705","文德路101巷",4.9159891598916,9.85094850948509,2.99186991869919,2.00385887541345,"00:00","09:00",9,"36.6%"
"706","文湖街",87.4404761904762,176.904761904762,106.511904761905,2.02314499659632,"09:00","17:00",8,"20.8%"
"707","文化三路",17.125,17.125,25.2916666666667,1,"09:00","17:00",8,"8.5%"
"708","文林北路",43.7700631199279,16.4824165915239,91.7069431920649,0.376568261881708,"09:00","17:00",8,"2.2%"
"709","文林路",9.53422370617696,2.86811352253756,20.5993322203673,0.300822973209596,"09:00","17:00",8,"1.7%"
"710","文林路A含機車",257.640921409214,257.640921409214,212.535230352304,1,"07:00","20:00",13,"9.3%"
"711","文林路B",70.1488095238095,114.084523809524,56.4309523809524,1.6263215952482,"07:00","20:00",13,"15.6%"
"712","臥龍街",96.5905172413793,241.761853448276,80.6239224137931,2.50295640144585,"07:00","18:00",11,"27.3%"
"713","臥龍街",96.5905172413793,241.761853448276,80.6239224137931,2.50295640144585,"09:00","17:00",8,"37.5%"
"714","臥龍街272巷",12.9278350515464,27.9278350515464,17,2.16028708133971,"09:00","17:00",8,"20.5%"
"715","吳興街",14.2439585730725,35.5937859608746,16.716915995397,2.49886896105995,"09:00","17:00",8,"26.6%"
"716","吳興街220巷",46.4849315068493,89.6369863013699,61.5835616438356,1.92830199799611,"07:00","21:00",14,"10.4%"
"717","吳興街600巷平面",18.4350348027842,56.9640371229698,27.0023201856148,3.08998804354666,"09:00","17:00",8,"26.4%"
"718","五常公園周邊",30.7172413793103,73.9816091954023,52.1379310344828,2.40847178566083,"09:00","17:00",8,"17.7%"
"719","五常街",84.0968294772922,154.117395029991,94.892030848329,1.83261837560245,"09:00","17:00",8,"20.3%"
"720","五常街53巷",22.3402298850575,37.2804597701149,26.367816091954,1.66875900391027,"09:00","17:00",8,"17.7%"
"721","五分街",6.07142857142857,11.4285714285714,3.52380952380952,1.88235294117647,"09:00","17:00",8,"40.5%"
"722","五原路",13.4991909385113,14.203074433657,8.05825242718447,1.0521426430926,"09:00","17:00",8,"22.0%"
"723","武昌街一段A（累進計時）",18.497062279671,22.1198589894242,8.64629847238543,1.19585795057493,"09:00","17:00",8,"32.0%"
"724","武昌街一段B（含機車）",241.702346041056,241.702346041056,224.436950146628,1,"07:00","20:00",13,"8.3%"
"725","武昌街一段C（含機車）",223.954048140044,223.954048140044,216.573304157549,1,"07:00","20:00",13,"8.0%"
"726","西藏路125巷",47.4825949367089,107.694620253165,74.0498417721519,2.26808624079443,"07:00","18:00",11,"13.2%"
"727","西藏路199巷",40.0390804597701,91.7310344827586,82.2413793103448,2.29103749210541,"09:00","17:00",8,"13.9%"
"728","西藏路A",161.685682326622,186.145413870246,133.275167785235,1.15127951462154,"03:00","17:00",14,"10.0%"
"729","西藏路B",69.5816091954023,108.76091954023,91.9988505747126,1.56306990881459,"09:00","17:00",8,"14.8%"
"730","西藏路C",71.7876658860265,109.032786885246,100.040593286495,1.5188234014789,"09:00","17:00",8,"13.6%"
"731","西昌街",43.2291666666667,77.7774122807018,57.0559210526316,1.79918833227647,"09:00","17:00",8,"17.0%"
"732","西寧北路Y00",136.141304347826,219.274936061381,92.4021739130435,1.61064224492192,"07:00","20:00",13,"18.3%"
"733","西寧北路Z00",25.7576354679803,36.2187192118227,34.6029556650246,1.40613525091799,"08:00","17:00",9,"11.6%"
"734","西寧南路A",298.621120889301,338.017137563687,217.229735988884,1.13192642421629,"09:00","21:00",12,"13.0%"
